,ExpermientName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,InstructionScreenNum,HabituationNumShockType,VAS_score,VAS_type,VAS_RT,ExperimentName,ShockType
0,,,1,1779537239.697122,29.17,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.22,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.27,Instructions,,,,,,,,,,11,,,,,Fort,Sound
0,,,1,1779537239.697122,29.37,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.42,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.47,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.52,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.57,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.62,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.68,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.73,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.78,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.83,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.88,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.93,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,29.98,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.03,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.09,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.14,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.19,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.24,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.29,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.34,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.39,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.44,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.5,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.55,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.6,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.65,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.7,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.75,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.81,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.86,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.91,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,30.96,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.01,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.06,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.11,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.16,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.21,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.27,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.32,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.37,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.42,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.47,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.52,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.57,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.63,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.68,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.73,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.78,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.83,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.88,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.93,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,31.99,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.04,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.09,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.14,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.19,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.24,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.3,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.35,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.4,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.45,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.51,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.59,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.64,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.69,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.74,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.8,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.85,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.9,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,32.95,Instructions,,,,,,,,,,12,,,,,Fort,Sound
