Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
205	 0	   NaN	0.0000	0.0001	0.0144	0.0361	19.5271	 0	   NaN	0.0000	19.5340	0.0000	 43	"43"
206	 0	   NaN	0.0000	0.0001	0.0146	0.0515	19.2960	 0	   NaN	0.0000	19.2994	0.0001	 44	"44"
207	 1	3.2893	0.0100	0.0005	0.0735	0.0740	18.9984	 0	   NaN	0.0000	19.0110	0.0000	 45	"45"
208	 0	   NaN	0.0000	0.0003	0.0528	0.1008	17.9470	 0	   NaN	0.0000	17.9650	0.0014	 46	"46"
209	 1	0.7052	0.0141	0.0005	0.0816	0.1023	17.7413	 0	   NaN	0.0000	17.7569	0.0023	 40	"40"
210	 3	0.1937	0.0417	0.0010	0.1633	0.1558	17.6329	 0	   NaN	0.0000	17.6620	0.0055	 41	"41"
211	 1	1.6312	0.0107	0.0007	0.1042	0.0740	17.4874	 0	   NaN	0.0000	17.5187	0.0043	 42	"42"
212	 1	2.5662	0.0106	0.0006	0.0882	0.0681	17.3994	 0	   NaN	0.0000	17.4187	0.0033	 43	"43"
213	 0	   NaN	0.0000	0.0001	0.0212	0.0594	17.3114	 0	   NaN	0.0000	17.3216	0.0035	 44	"44"
214	 0	   NaN	0.0000	0.0004	0.0564	0.0673	17.1976	 0	   NaN	0.0000	17.2070	0.0018	 45	"45"
215	 5	0.3688	0.0737	0.0015	0.2330	0.1224	16.8120	 0	   NaN	0.0000	16.8788	0.0050	 46	"46"
216	 1	0.4327	0.0115	0.0002	0.0263	0.0823	16.7545	 0	   NaN	0.0000	16.7731	0.0051	 80	"80"
217	 0	   NaN	0.0000	0.0003	0.0497	0.1014	16.6691	 0	   NaN	0.0000	16.6747	0.0067	 81	"81"
218	 0	   NaN	0.0000	0.0004	0.0645	0.0781	16.5533	 0	   NaN	0.0000	16.5718	0.0045	 82	"82"
219	 0	   NaN	0.0000	0.0004	0.0589	0.0741	16.4754	 0	   NaN	0.0000	16.4916	0.0063	 83	"83"
220	 0	   NaN	0.0000	0.0004	0.0713	0.0839	16.3828	 0	   NaN	0.0000	16.3959	0.0047	 84	"84"
221	 5	0.4437	0.1554	0.0034	0.5505	0.2022	16.2307	 0	   NaN	0.0000	16.3094	0.0035	 85	"85"
222	 1	0.8283	0.0114	0.0004	0.0587	0.1239	21.4024	 0	   NaN	0.0000	21.5899	0.0000	 86	"86"
223	 0	   NaN	0.0000	0.0001	0.0215	0.0463	20.5135	 0	   NaN	0.0000	20.5221	0.0000	 20	"20"
224	 4	0.3542	0.1066	0.0021	0.3397	0.1570	19.9551	 0	   NaN	0.0000	20.0082	0.0000	 21	"21"
225	 4	0.5227	0.1352	0.0029	0.4637	0.1633	19.4945	 0	   NaN	0.0000	19.6103	0.0000	 22	"22"
226	 4	0.0813	0.0730	0.0015	0.2418	0.1698	19.2965	 0	   NaN	0.0000	19.3864	0.0000	 23	"23"
227	 0	   NaN	0.0000	0.0001	0.0101	0.0689	19.0698	 0	   NaN	0.0000	19.0921	0.0031	 24	"24"
228	 0	   NaN	0.0000	0.0002	0.0309	0.0748	18.8126	 0	   NaN	0.0000	18.8175	0.0010	 25	"25"
229	 0	   NaN	0.0000	0.0007	0.1044	0.1257	17.9579	 1	2.9357	0.0100	17.9801	0.0100	 26	"26"
230	 2	2.7477	0.0601	0.0007	0.1139	0.1707	20.4401	 0	   NaN	0.0000	20.4762	0.0062	 95	"95"
231	 4	0.4572	0.1440	0.0029	0.4569	0.1759	20.1247	 0	   NaN	0.0000	20.2357	0.0000	 60	"60"
232	 4	0.4747	0.0494	0.0012	0.1896	0.0888	19.9028	 0	   NaN	0.0000	19.9835	0.0000	 61	"61"
233	 0	   NaN	0.0000	0.0002	0.0288	0.0823	19.6152	 0	   NaN	0.0000	19.6354	0.0029	 62	"62"
234	 0	   NaN	0.0000	0.0004	0.0562	0.0528	19.3518	 0	   NaN	0.0000	19.3584	0.0001	 63	"63"
235	 4	0.3633	0.0934	0.0021	0.3424	0.1511	19.1530	 0	   NaN	0.0000	19.1901	0.0024	 64	"64"
236	 3	0.6833	0.2617	0.0059	0.9376	0.3317	18.8625	 0	   NaN	0.0000	19.0175	0.0071	 65	"65"
237	 0	   NaN	0.0000	0.0001	0.0228	0.0751	19.4275	 0	   NaN	0.0000	19.4444	0.0004	 66	"66"
238	 3	1.3583	0.0433	0.0010	0.1629	0.0769	18.9849	 0	   NaN	0.0000	19.0314	0.0011	 40	"40"
239	 3	0.4477	0.0381	0.0008	0.1294	0.0964	18.8197	 0	   NaN	0.0000	18.8565	0.0019	 41	"41"
240	 2	1.1487	0.0210	0.0008	0.1254	0.0809	18.6759	 0	   NaN	0.0000	18.7103	0.0042	 42	"42"
241	 1	0.7583	0.0116	0.0007	0.1152	0.0741	18.5201	 0	   NaN	0.0000	18.5514	0.0021	 43	"43"
242	 0	   NaN	0.0000	0.0004	0.0677	0.0824	18.4005	 0	   NaN	0.0000	18.4275	0.0066	 44	"44"
243	 0	   NaN	0.0000	0.0005	0.0748	0.0847	18.3020	 0	   NaN	0.0000	18.3173	0.0044	 45	"45"
244	 3	0.9178	0.4965	0.0143	2.2835	1.1382	19.6850	 0	   NaN	0.0000	20.8728	0.0148	 46	"46"
245	 0	   NaN	0.0000	0.0000	0.0000	0.0986	19.9071	 0	   NaN	0.0000	19.9241	0.0041	 80	"80"
246	 3	1.1928	0.1126	0.0027	0.4378	0.1935	19.5349	 0	   NaN	0.0000	19.6031	0.0032	 81	"81"
247	 4	0.1902	0.0903	0.0019	0.3030	0.1545	19.3017	 0	   NaN	0.0000	19.3975	0.0015	 82	"82"
248	 1	0.5293	0.0101	0.0005	0.0806	0.0642	19.2013	 0	   NaN	0.0000	19.2526	0.0002	 83	"83"
249	 5	0.1998	0.4086	0.0085	1.3679	0.5104	18.8534	 1	1.9997	0.0142	19.0229	0.0142	 84	"84"
250	 5	0.6032	0.7155	0.0142	2.2687	0.6843	18.3758	 0	   NaN	0.0000	18.8807	0.0074	 85	"85"
251	 5	0.5003	0.6789	0.0153	2.4430	0.7240	21.8864	 0	   NaN	0.0000	22.3014	0.0000	 86	"86"
252	 5	0.2987	0.1015	0.0022	0.3513	0.2079	20.9425	 0	   NaN	0.0000	21.1270	0.0004	 80	"80"
253	 2	0.3872	0.0316	0.0009	0.1394	0.1613	20.7536	 0	   NaN	0.0000	20.8263	0.0000	 81	"81"
254	 1	1.5908	0.0108	0.0003	0.0411	0.1246	20.4440	 0	   NaN	0.0000	20.4616	0.0000	 82	"82"
255	 1	2.2323	0.0110	0.0004	0.0661	0.1047	20.2047	 0	   NaN	0.0000	20.2156	0.0000	 83	"83"
256	 5	0.8678	0.0937	0.0021	0.3354	0.1609	19.8970	 0	   NaN	0.0000	19.9455	0.0022	 84	"84"
257	 5	0.1618	0.2626	0.0047	0.7596	0.2668	19.5975	 0	   NaN	0.0000	19.7233	0.0005	 85	"85"
258	 1	3.7832	0.0218	0.0004	0.0700	0.1478	21.0634	 0	   NaN	0.0000	21.1282	0.0010	 86	"86"
259	 1	2.7883	0.0156	0.0009	0.1381	0.0813	20.4787	 0	   NaN	0.0000	20.5009	0.0001	 20	"20"
260	 2	1.0257	0.0258	0.0010	0.1588	0.0951	20.2616	 0	   NaN	0.0000	20.2994	0.0026	 21	"21"
261	 0	   NaN	0.0000	0.0003	0.0544	0.0656	20.0340	 0	   NaN	0.0000	20.0561	0.0018	 22	"22"
262	 1	2.8812	0.0111	0.0007	0.1131	0.0862	19.7876	 0	   NaN	0.0000	19.8024	0.0026	 23	"23"
263	 2	1.3213	0.0283	0.0012	0.1900	0.0838	19.5495	 0	   NaN	0.0000	19.5943	0.0011	 24	"24"
264	 2	0.1647	0.0225	0.0009	0.1431	0.0984	19.3820	 0	   NaN	0.0000	19.4205	0.0041	 25	"25"
265	 0	   NaN	0.0000	0.0003	0.0463	0.0536	18.8189	 0	   NaN	0.0000	18.8370	0.0049	 26	"26"
266	 1	1.5632	0.0147	0.0008	0.1208	0.1176	18.6415	 0	   NaN	0.0000	18.7111	0.0039	 40	"40"
267	 0	   NaN	0.0000	0.0006	0.0965	0.0605	18.5713	 0	   NaN	0.0000	18.6049	0.0021	 41	"41"
268	 0	   NaN	0.0000	0.0002	0.0289	0.0976	18.5195	 0	   NaN	0.0000	18.5366	0.0081	 42	"42"
269	 0	   NaN	0.0000	0.0001	0.0117	0.0585	18.4382	 0	   NaN	0.0000	18.4421	0.0037	 43	"43"
270	 0	   NaN	0.0000	0.0002	0.0364	0.0468	18.3546	 0	   NaN	0.0000	18.3615	0.0025	 44	"44"
271	 2	3.0877	0.1142	0.0022	0.3534	0.2733	18.2762	 1	2.9128	0.0545	18.3053	0.0438	 45	"45"
272	 2	2.5217	0.0463	0.0011	0.1809	0.1306	17.8822	 0	   NaN	0.0000	17.8979	0.0117	 46	"46"
273	 1	2.3587	0.0107	0.0005	0.0796	0.1092	17.7240	 0	   NaN	0.0000	17.7483	0.0081	 20	"20"
274	 1	3.2643	0.0166	0.0007	0.1072	0.1505	17.6220	 1	3.2143	0.0113	17.6412	0.0113	 21	"21"
275	 1	1.9587	0.0127	0.0005	0.0855	0.1460	17.5077	 1	1.9587	0.0130	17.5282	0.0130	 22	"22"
276	 2	0.0488	0.0210	0.0007	0.1177	0.1161	17.4297	 0	   NaN	0.0000	17.4531	0.0071	 23	"23"
277	 0	   NaN	0.0000	0.0005	0.0737	0.0625	17.3543	 0	   NaN	0.0000	17.3754	0.0049	 24	"24"
278	 0	   NaN	0.0000	0.0001	0.0137	0.0545	17.2766	 0	   NaN	0.0000	17.2894	0.0017	 25	"25"
279	 0	   NaN	0.0000	0.0004	0.0657	0.0545	16.8797	 0	   NaN	0.0000	16.8933	0.0050	 26	"26"
280	 1	0.4958	0.0112	0.0004	0.0667	0.0581	16.7534	 0	   NaN	0.0000	16.7699	0.0030	 60	"60"
281	 0	   NaN	0.0000	0.0002	0.0315	0.0522	16.6679	 0	   NaN	0.0000	16.6785	0.0017	 61	"61"
282	 2	0.6147	0.0435	0.0011	0.1729	0.1601	16.5477	 0	   NaN	0.0000	16.5852	0.0096	 62	"62"
283	 0	   NaN	0.0000	0.0005	0.0845	0.0805	16.4633	 0	   NaN	0.0000	16.4908	0.0058	 63	"63"
284	 0	   NaN	0.0000	0.0003	0.0435	0.0877	16.4121	 0	   NaN	0.0000	16.4303	0.0052	 64	"64"
285	 0	   NaN	0.0000	0.0002	0.0368	0.0688	16.3581	 0	   NaN	0.0000	16.3677	0.0056	 65	"65"
286	 0	   NaN	0.0000	0.0002	0.0371	0.0407	16.0668	 0	   NaN	0.0000	16.0787	0.0027	 66	"66"
287	 0	   NaN	0.0000	0.0005	0.0722	0.0611	15.7992	 0	   NaN	0.0000	15.8346	0.0095	 92	"92"
